year,members_total,members_change,pct_growth_members,yoy_pct_change_members,new_cor,cor_baptisms,yoy_pct_change_cor,converts,yoy_pct_change_converts,,,,missionaries,pct_growth_missionaries,pct_church_missionaries,converts_per_missionary,yoy_pct_change_conve_per_mish,net_members_per_missionary,gross_members_per_missionary,service_missionaries,senior_service_missionaries,young_service_missionaries,pct_change_service_missionaries,total_missionaries,pct_change_total_missionary,stakes,pct_change_stakes,districts,pct_change_districts,members_per_stake,pct_change_members_per_stake,wards,pct_change_wards,wards_per_stake,members_per_ward,temples_dedicated,temples_operating,temples_announced
1859,"57,038","1,283",2.30%,147.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
1858,"55,755",519,0.94%,-106.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
1857,"55,236","-8,645",-13.53%,9195.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
1856,"63,881",-93,-0.15%,-97.91%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
1855,"63,974","-4,455",-6.51%,-204.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
1854,"68,429","4,275",6.66%,-62.87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
1853,"64,154","11,514",21.87%,2324.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
1852,"52,640",475,0.91%,45.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
1851,"52,165",326,0.63%,-91.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
1850,"51,839","3,679",7.64%,-52.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
1849,"48,160","7,683",18.98%,32.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
1848,"40,477","5,783",16.67%,724.96%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
1847,"34,694",701,2.06%,-80.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
1846,"33,993","3,661",12.07%,-12.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
1845,"30,332","4,186",16.01%,2421.69%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
1844,"26,146",166,0.64%,-93.13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
1843,"25,980","2,416",10.25%,-34.84%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
1842,"23,564","3,708",18.67%,23.97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
1841,"19,856","2,991",17.73%,638.52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
1840,"16,865",405,2.46%,-128.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
1839,"16,460","-1,421",-7.95%,-188.87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
1838,"17,881","1,599",9.82%,-46.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
1837,"16,282","2,989",22.49%,-32.95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
1836,"13,293","4,458",50.46%,-0.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
1835,"8,835","4,463",102.08%,262.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,"4,372","1,232",39.24%,157.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,"3,140",479,18.00%,-75.82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1832,"2,661","1,981",291.32%,395.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1831,680,400,142.86%,45.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,280,274,4566.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
